stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
12.1506467,-86.1867614,node/3696259369,,Farmacia Erika,0
12.1486448,-86.3105607,node/3216618792,relation/6472926,Hospital Lenín Fonseca,0
12.1655033,-86.3643831,node/3230468772,relation/6472366,Casa del Zinc,0
12.1661942,-86.3617151,node/3230468774,relation/6472839,Iglesia San José,0
12.1235846,-86.2936798,relation/6472293,,Barrio el Pilar,1
12.1241589,-86.2768494,node/3227474660,relation/6472569,ENEL Central,0
12.1452707501,-86.3003649999,relation/6472291,,Reparto Miraflores,1
12.1230486501,-86.1912655,relation/6472296,,Bayer,1
12.1379186,-86.2911109,node/2866717687,relation/6473311,La Racachaca,0
12.13067925,-86.2904479999,relation/6472299,,Colegio Benjamín Zeledón,1
12.1124485,-86.28278235,relation/6472298,,Benito Juárez,1
12.1150773,-86.2537564,node/2462431802,relation/6472625,El Quetzal,0
12.115654,-86.2392015,node/5013020530,,Parque Adolfo Reyes,0
12.0696117,-86.2158242,node/5177114041,relation/6472672,KM 12 Carretera Masaya / La Base,0
12.1657783,-86.3556567,node/3714406696,relation/6473050,Palí Ciudad Sandino,0
12.1575929,-86.3603565,node/3714406697,relation/6473366,Santa Eduviges,0
12.15013185,-86.31979435,relation/9671024,,Unimar,1
12.1576741,-86.3603392,node/3714406698,relation/6473366,Santa Eduviges,0
12.15005825,-86.31955665,relation/9671023,,Terminal de la Ruta 114,1
12.1133024,-86.3156148,node/3247277509,relation/6472677,Entrada a San Patricio,0
12.1131921,-86.3156189,node/3247277508,relation/6472677,Entrada a San Patricio,0
12.1229287,-86.1948878,node/3271335668,relation/6472981,Manuel Fernández,0
12.1061562,-86.3095939,node/3247277501,relation/6472346,Campo de Béisbol,0
12.1060498,-86.3094365,node/3247277500,relation/6472346,Campo de Béisbol,0
12.1130302,-86.3115679,node/3247277503,relation/6472401,Centro Kairos,0
12.1125363,-86.3112545,node/3247277502,relation/6472401,Centro Kairos,0
12.1295496,-86.2976377,node/3247277505,relation/6472455,Colegio Madre del Divino Pastor,0
12.1435307,-86.2509417,node/3247277504,,Cerrajería Tenderí,0
12.1409392,-86.2914192,node/3247277507,,Escuela Normal María Mazzarello,0
12.1296873,-86.297125,node/3247277506,relation/6472455,Colegio Madre del Divino Pastor,0
12.1371643,-86.2350764,node/7651417283,,La Basílica,0
12.108226,-86.3110582,node/7214740343,relation/6472284,Barrio Germán Pomares,0
12.1441998,-86.2141199,node/7228355974,relation/6473597,Zona Franca Dasol,0
12.1828064,-86.359001,node/7644921538,,Salida Valle Sandino,0
12.1356184,-86.2090342,node/7651417284,,9 de Junio,0
12.1799302,-86.3550819,node/7644921534,,La Zona,0
12.1809411,-86.3563438,node/7644921536,,Zaratoga,0
12.145137,-86.2515321,node/2490583640,,Profamilia,0
12.1052598,-86.2233822,node/2490583643,relation/6473354,Salomón Moreno,0
12.1330932,-86.2810839,node/7228355979,,Banco LAFISE Bancentro Plaza España,0
12.1269069,-86.2036062,node/2865556800,relation/6473181,Maxi Palí,0
12.0899103,-86.309568,node/3735486673,relation/6473614,Camilo Ortega 1,0
12.1345222,-86.2918804,node/3735486672,,Puente,0
12.1484328,-86.2962683,node/3735486670,relation/6473103,Parque Mennen,0
12.0899683,-86.3094766,node/3735486674,relation/6473614,Camilo Ortega 1,0
12.1541202,-86.2984103,node/2468437824,,Semáforos La Ceibita,0
12.1422333,-86.24199,node/2476043393,,INDENICSA,0
12.1541678,-86.2640651,node/3237278829,,Rubén Darío,0
12.155966,-86.238429,node/3237278826,relation/6472447,Colegio José de la Cruz Mena,0
12.1506843,-86.3009579,node/3237278824,,Cine León,0
12.1498155,-86.2923632,node/3237278822,,Las Vegas,0
12.1534804,-86.2544573,node/3237278823,relation/6473304,Quinta Nina,0
12.1542333,-86.2656516,node/3237278820,relation/6472859,Instituto Loyola,0
12.139216,-86.2378737,node/3306673901,relation/6472384,Cementerio Oriental,0
12.123277,-86.2937124,node/3306673900,relation/6472293,Barrio el Pilar,0
12.1143052,-86.2936313,node/3306673903,relation/6472472,Escuela Melania Morales,0
12.1162713,-86.2940421,node/3306673902,relation/6472398,Entrada Barrio El Pilar,0
12.1455772,-86.2622499,node/2509891206,relation/6472526,Policía Distrito I Norte,0
12.1173348,-86.1656836,node/2509891207,,Antigua Estación,0
12.1091169,-86.291053,node/3306673907,relation/6473178,Pozo Enacal,0
12.108915,-86.287216,node/3306673906,relation/6473402,Sombrero de Sandino,0
12.1183219,-86.2938145,node/3306673909,relation/6473415,Super Boutique,0
12.1206296,-86.2944631,node/3306673908,relation/6473295,Pulpería Wendy,0
12.0888395,-86.3094151,node/3735486705,,Terminal Camilo Ortega,0
12.1007976,-86.298539,node/3735486704,relation/6473404,Sorbetería Haydee,0
12.1479557,-86.2883207,node/3735486703,relation/6473355,Salud Integral,0
12.1482279,-86.2864599,node/3735486702,,Ruta Maya,0
