service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20230305,20230624
2,0,0,0,0,0,0,0,20230305,20230624
3,0,0,0,0,0,0,0,20230305,20230624
4,0,0,0,0,0,0,0,20230305,20230624
5,0,0,0,0,0,0,0,20230305,20230624
6,1,1,1,1,0,0,0,20230305,20230624
7,0,0,0,0,1,0,0,20230305,20230624
9,0,0,0,0,0,1,0,20230305,20230624
