stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28257,BT1167,MD AVE & BLAD RD,,38.900593,-76.982315,,
28258,BT117,ARCHIVES (9TH & CONS NW),,38.892727,-77.023941,,
28259,BT1170,GEORGIA AVE AND ICC P&R,,39.116646,-77.076012,,
28260,BT1171,UNION STA (E ST & MASS AVE),,38.896309,-77.008804,,
28261,BT1172,VALLEY DRIVE & GUNSTON ROAD,,38.838356,-77.079247,,
28262,BT1173,FM RUN & COLUMBIA PIKE,,38.85643,-77.108643,,
28263,BT1174,FM RUN & COLUMBIA PIKE,,38.856285,-77.108406,,
28264,BT1175,7 CORNERS TRANSIT CTR,,38.870846,-77.153008,,
28265,BT1176,HUNTING POINT,,38.792282,-77.050026,,
28267,BT118,DUKE & WALKER STS,,38.81424,-77.133881,,
28268,BT1180,20TH & NEW HAMPSHIRE AVE NW,,38.907742,-77.044945,,
28269,BT1181,BALTIMORE AND EAST WEST HWY,,38.96365,-76.939156,,
28270,BT1182,RIVERDALE RD AND 57TH AVE,,38.959229,-76.918678,,
28271,BT1183,RIVERDALE RD & AUBURN AVE,,38.964352,-76.896782,,
28272,BT1184,M ST & 4TH ST S.W.,,38.876511,-77.017731,,
28273,BT1185,ADELPHI RD & TULANE DR,,38.984642,-76.955414,,
28274,BT1186,AUBURN RD & RIVERDALE RD,,38.965092,-76.896545,,
28275,BT1188,RIGGS RD & EAST WEST HWY,,38.971577,-76.980026,,
28276,BT1189,FARR SQ (17TH ST  & I ST NW),,38.901306,-77.039444,,
28277,BT1190,CONNECTICUT & FLORIDA AVE.,,38.91497,-77.046097,,
28278,BT1191,FARR SQ (17TH ST(W) & I),,38.90134,-77.039452,,
28279,BT1192,CONNECTICUT & LEROY PL.,,38.915344,-77.046364,,
28280,BT1193,CALVERT ST NW & CONNECTICUT AVE,,38.923183,-77.051392,,
28281,BT1199,WISCONSIN & NEWARK,,38.934639,-77.072449,,
28283,BT1202,RANDOLPH AND LAUDERDALE DR,,39.053604,-77.104179,,
28284,BT1203,RANDOLPH AND PUTNAM,,39.053623,-77.103058,,
28285,BT1204,EAST CAMPUS DR AT BISDORF BLDG,,38.840626,-77.11615,,
28286,BT1205,37TH & O ST NW,,38.907673,-77.071594,,
28287,BT1206,NEW HAMPSHIRE & EAST WEST HWY,,38.975319,-76.994263,,
28288,BT1207,BLADENSBURG HIGH SCHOOL,,38.942604,-76.91716,,
28289,BT1210,S CAPITOL & MALCOLM X,,38.8451,-77.008278,,
28290,BT1214,COLUMBIA PIKE & ORME STREET,,38.866486,-77.071899,,
28291,BT1216,EAST-WEST & CONN,,38.987919,-77.077148,,
28292,BT1219,US COAST GUARD HQ,,38.853336,-77.005066,,
28293,BT122,EDSALL RD & CHEROKEE,,38.80481,-77.168228,,
28294,BT1223,ARLINGTON BLVD & JAVIER ST.,,38.86552,-77.235596,,
28295,BT1224,JERMANTOWN & US 50,,38.856117,-77.332321,,
28296,BT1225,FAIRFAX CTY GOV CTR,,38.853085,-77.357948,,
28297,BT1227,TYSONS CORNER STA S,,38.920025,-77.222603,,
