stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
187,3000151,OXON HILL RD + LIVINGSTON RD,,38.758014,-76.997391,,
194,3000152,FORT FOOTE RD + WEDGEWOOD DR,,38.758498,-77.018645,,
196,3000153,FORT FOOTE RD + LOUGHRAN RD,,38.758775,-77.019896,,
198,3000154,FORT FOOTE RD + SANDY BAR DR,,38.75888,-77.023378,,
200,3000155,FORT FOOTE RD + IVANHOE RD,,38.759025,-77.023485,,
201,3000156,ALLENTOWN RD + ROSE VALLEY DR,,38.759046,-76.963569,,
202,3000157,ALLENTOWN RD + ROSE VALLEY DR,,38.759156,-76.963689,,
204,3000158,FORT FOOTE RD + INDIAN QUEEN ES,,38.759183,-77.016131,,
208,5000043,HUNTSMAN BLVD + ROCKEFELLER LA,,38.759537,-77.262212,,
210,3000159,FORT FOOTE RD + ROUND TABLE DR,,38.759667,-77.015307,,
213,3000160,ALLENTOWN RD + DORIS DR,,38.760448,-76.961464,,
215,3000161,ALLENTOWN RD + DORIS DR,,38.760643,-76.961394,,
216,3000162,FORT FOOTE RD + LARK LA,,38.760758,-77.024229,,
217,3000163,FORT FOOTE RD + TRAVERSE WAY,,38.760711,-77.010596,,
219,3000164,FORT FOOTE RD S + STONY HILL DR,,38.760964,-77.005613,,
220,3000165,FORT FOOTE RD + MESSINA DR,,38.760883,-77.010703,,
222,3000166,FORT FOOTE RD + LARK LA,,38.760856,-77.024406,,
223,3000167,ALLENTOWN RD + CONSTANTINE DR,,38.76094,-76.959339,,
235,3000169,ALLENTOWN RD + CALYDON CT,,38.764111,-76.954289,,
236,3000170,ALLENTOWN RD + CALYDON CT,,38.764268,-76.954063,,
242,3000171,FORT FOOTE RD + FORTSIDE DRIVEWAY,,38.764994,-77.025062,,
244,3000172,FORT FOOTE RD + BLUFFWOOD LN,,38.765298,-77.024887,,
251,3000175,CLINTON PARK AND RIDE LOT + BUS BAY B,,38.766064,-76.885123,,
255,5000069,HUNTSMAN BLVD + SYDENSTRICKER RD,,38.766639,-77.253578,,
267,5000075,HUNTSMAN BLVD + SIDE SADDLE RD,,38.767879,-77.253,,
270,5000078,HUNTSMAN BLVD + SIDE SADDLE RD,,38.768103,-77.253057,,
271,3000184,ALLENTOWN RD + STONESBORO DR,,38.768272,-76.952788,,
277,3000186,ALLENTOWN RD + ALDERTON AVE,,38.768921,-76.95276,,
284,5000088,HUNTSMAN BLVD + HOUNDMASTER RD,,38.769655,-77.250144,,
286,5000090,HUNTSMAN BLVD + HOUNDMASTER RD,,38.770067,-77.249976,,
288,3000188,FORT FOOTE RD + BLUFFWOOD LN,,38.77024,-77.021095,,
289,3000189,FORT FOOTE RD + BLUFFWOOD LA,,38.770342,-77.021212,,
305,3000192,FORT FOOTE RD + E FORT FOOTE TERR,,38.771311,-77.017762,,
311,3000195,FORT FOOTE RD N + LOUGHRAN RD,,38.771757,-77.016409,,
312,5000108,HUNTSMAN BLVD + BRIDLE WOOD DR,,38.771894,-77.248917,,
313,3000196,ALLENTOWN RD + MARSTON DR,,38.772147,-76.95141,,
314,3000197,ALLENTOWN RD + DALEWOOD RD,,38.772124,-76.951606,,
315,3000198,FORT FOOTE RD + POTOMAC VALLEY DR,,38.772284,-77.01607,,
321,5000112,HUNTSMAN BLVD + BRIDLE WOOD DR,,38.772626,-77.248631,,
327,5000116,OLD KEENE MILL RD + FIELDMASTER DR,,38.77296,-77.255317,,
330,5000117,OLD KEENE MILL RD + FIELD MASTER DR,,38.773213,-77.255319,,
332,5000119,OLD KEENE MILL RD + KEENE DR,,38.773407,-77.259267,,
335,5000122,OLD KEENE MILL RD + KEENE DR,,38.77368,-77.259231,,
337,5000124,OLD KEENE MILL RD + HUNTSMAN BLVD,,38.774146,-77.249671,,
338,5000125,OLD KEENE MILL RD + HARWOOD PL,,38.774088,-77.210047,,
339,5000126,OLD KEENE MILL RD + HUNTSMAN BLVD,,38.774132,-77.24841,,
341,3000205,FORT FOOTE RD + RIVER WOOD DR,,38.77429,-77.015003,,
342,5000128,OLD KEENE MILL RD + HARWOOD PL,,38.774345,-77.210104,,
343,5000129,OLD KEENE MILL RD + HUNTER VILLAGE DR,,38.774376,-77.205732,,
344,5000130,OLD KEENE MILL RD + TIVERTON DR,,38.774553,-77.20639,,
345,3000206,FORT FOOTE RD + RIVER WOOD DR,,38.77454,-77.014478,,
356,5000137,OLD KEENE MILL RD + GREELEY BLVD,,38.775613,-77.215754,,
359,5000140,OLD KEENE MILL RD + BYRON AVE,,38.775645,-77.202101,,
361,3000212,TUCKER RD + ROSE MARIE DR,,38.775809,-76.955953,,
364,5000143,OLD KEENE MILL RD + BYRON AVE,,38.77594,-77.202194,,
368,5000146,OLD KEENE MILL RD + GREELEY BLVD,,38.776205,-77.216486,,
370,3000213,TUCKER RD + ARUNDEL DR,,38.776276,-76.95274,,
371,5000148,GREELEY BLVD + HARWOOD PL,,38.776363,-77.215675,,
373,3000214,TUCKER RD + ALLENTOWN RD,,38.776333,-76.952268,,
374,5000150,OLD KEENE MILL RD + WYNGATE DR,,38.776471,-77.243701,,
376,5000152,OLD KEENE MILL RD + HILLSIDE RD,,38.776834,-77.243801,,
379,5000155,GREELEY BLVD + HARWOOD PL,,38.776796,-77.21561,,
380,3000215,BOCK RD + HEMPSTEAD DR,,38.776961,-76.959437,,
381,3000216,BOCK RD + HEMPSTEAD DR,,38.777098,-76.95988,,
383,5000156,OLD KEENE MILL RD + HASTINGS ST,,38.777369,-77.197291,,
384,5000157,SHIPLETT BLVD + TORRENCE ST,,38.777441,-77.266465,,
385,5000158,OLD KEENE MILL RD + HANOVER AVE,,38.77766,-77.195407,,
386,5000159,OLD KEENE MILL RD + LEE VALLEY DR,,38.777684,-77.193868,,
387,5000160,OLD KEENE MILL RD + ENGLISH IVY WAY,,38.77771,-77.239404,,
388,5000161,SHIPLETT BLVD + TORRENCE ST,,38.777816,-77.265873,,
390,5000163,GREELEY BLVD + ALBERTA ST,,38.778004,-77.215632,,
391,3000217,FORT FOOTE RD + RIVER BEND RD,,38.777981,-77.011242,,
392,5000164,OLD KEENE MILL RD + BAUER DR,,38.778099,-77.241163,,
394,5000165,OLD KEENE MILL RD + COMMERCE ST,,38.778033,-77.191717,,
396,3000220,FORT FOOTE RD + RIVER BEND RD,,38.778266,-77.01076,,
397,5000166,GREELEY BLVD + ALBERTA ST,,38.778164,-77.215847,,
398,5000167,OLD KEENE MILL RD + COMMERCE ST,,38.778275,-77.192222,,
399,5000168,OLD KEENE MILL RD + MILLWOOD DR,,38.778245,-77.237083,,
400,5000169,HILLSIDE RD + SURVEYORS PL,,38.778638,-77.246938,,
401,5000170,OLD KEENE MILLL RD + JANSEN DR,,38.778288,-77.220669,,
402,5000171,OLD KEENE MILL RD + OLD KEENE MILL CT,,38.778435,-77.237435,,
403,3000221,OXON HILL RD + KERBY PKWY,,38.778432,-77.006117,,
404,5000172,OLD KEENE MILL RD + JANSEN DR,,38.778486,-77.220423,,
405,5000173,OLD KEENE MILL RD + SPRING RD,,38.778408,-77.189327,,
406,3000222,OXON HILL RD + KERBY PKWY,,38.778579,-77.006336,,
407,5000174,HILLSIDE RD + SURVEYORS PL,,38.778595,-77.247135,,
409,5000176,OLD KEENE MILL RD + ROLLING RD,,38.77878,-77.234655,,
410,5000177,OLD KEENE MILL RD + SPRING RD,,38.778843,-77.188856,,
411,5000178,CAPELLA AVE + LEE CHAPEL RD,,38.778884,-77.275957,,
413,5000180,CAPELLA AVE + LEE CHAPEL RD,,38.778997,-77.276026,,
414,5000181,COMMERCE ST + OLD KEENE MILL RD,,38.779141,-77.191584,,
418,5000183,OLD KEENE MILL RD + BARDU AVE,,38.7794,-77.222092,,
