stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
13957,13957,SE Powell & 162nd,southeast powell & 162nd,Eastbound stop in Portland (Stop ID 13957),45.494563,-122.496025,B,https://trimet.org/home/stop/13957,0,,East,Farside
13958,13958,3700 Block SE 162nd,thirty-seven-hundred block southeast 162nd,Northbound stop in Portland (Stop ID 13958),45.495551,-122.496511,B,https://trimet.org/home/stop/13958,0,,North,At
13959,13959,SE 162nd & Tibbetts,southeast 162nd & tibbetts,Northbound stop in Portland (Stop ID 13959),45.500264,-122.496695,B,https://trimet.org/home/stop/13959,0,,North,Farside
13960,13960,SE 162nd & Division,southeast 162nd & division,Northbound stop in Portland (Stop ID 13960),45.504984,-122.496497,B,https://trimet.org/home/stop/13960,0,,North,Farside
13961,13961,2000 Block SE162nd,2000 block se162nd,Northbound stop in Portland (Stop ID 13961),45.507552,-122.496409,B,https://trimet.org/home/stop/13961,0,,North,At
13962,13962,SE 162nd & Mill,southeast 162nd & mill,Northbound stop in Portland (Stop ID 13962),45.510643,-122.49639,B,https://trimet.org/home/stop/13962,0,,North,Farside
13963,13963,SE 162nd & Main,southeast 162nd & main,Northbound stop in Portland (Stop ID 13963),45.513862,-122.49637,B,https://trimet.org/home/stop/13963,0,,North,Farside
13964,13964,SE 162nd & Stark,southeast 162nd & stark,Northbound stop in Gresham (Stop ID 13964),45.51962,-122.496313,B,https://trimet.org/home/stop/13964,0,,North,Farside
13965,13965,NE 162nd & E Burnside,northeast 162nd & east burnside,Northbound stop in Gresham (Stop ID 13965),45.52269,-122.496268,B,https://trimet.org/home/stop/13965,0,,North,Farside
13966,13966,600 Block NE 162nd,600 block northeast 162nd,Northbound stop in Gresham (Stop ID 13966),45.527103,-122.496208,B,https://trimet.org/home/stop/13966,0,,North,Opposite
13967,13967,NE 162nd & Holladay,northeast 162nd & holladay,Northbound stop in Gresham (Stop ID 13967),45.52981,-122.49606,B,https://trimet.org/home/stop/13967,0,,North,Nearside
13968,13968,NE 162nd & Halsey,northeast 162nd & haulzy,Northbound stop in Gresham (Stop ID 13968),45.53462,-122.495651,B,https://trimet.org/home/stop/13968,0,,North,Farside
13969,13969,NE 162nd & San Rafael,northeast 162nd & san ruh fell,Northbound stop in Gresham (Stop ID 13969),45.537379,-122.495644,B,https://trimet.org/home/stop/13969,0,,North,Farside
13970,13970,NE 162nd & Thompson,northeast 162nd & thompson,Northbound stop in Gresham (Stop ID 13970),45.539641,-122.495624,B,https://trimet.org/home/stop/13970,0,,North,Opposite
13971,13971,NE 162nd & Fargo,northeast 162nd & fargo,Northbound stop in Portland (Stop ID 13971),45.545961,-122.495702,B,https://trimet.org/home/stop/13971,0,,North,Nearside
13972,13972,NE 158th & Mason,northeast 158th & mason,Northbound stop in Portland (Stop ID 13972),45.553143,-122.500143,B,https://trimet.org/home/stop/13972,0,,North,Farside
13973,13973,SE 1st & 3rd,southeast 1st & 3rd,Southbound stop in Gresham (Stop ID 13973),45.497644,-122.406523,B,https://trimet.org/home/stop/13973,0,,South,Nearside
13974,13974,SE 3rd & 1st,southeast 3rd & 1st,Northbound stop in Gresham (Stop ID 13974),45.497235,-122.406978,B,https://trimet.org/home/stop/13974,0,,North,Nearside
13975,13975,1200 Block NW Swigert Way,twelve-hundred block northwest swyygert way,Eastbound stop in Troutdale (Stop ID 13975),45.55503,-122.39933,B,https://trimet.org/home/stop/13975,0,,East,At
13976,13976,1500 Block NE Graham Rd,fifteen-hundred block northeast graham road,Southbound stop in Troutdale (Stop ID 13976),45.55085,-122.388776,B,https://trimet.org/home/stop/13976,0,,South,Farside
13977,13977,900 Block NE Graham Rd,900 block northeast graham road,Southbound stop in Troutdale (Stop ID 13977),45.547082,-122.391339,B,https://trimet.org/home/stop/13977,0,,South,At
13978,13978,SE Hwy 224 & Oak,southeast highway two twenty-four & oak,Eastbound stop in Milwaukie (Stop ID 13978),45.443446,-122.630238,B,https://trimet.org/home/stop/13978,0,,East,Nearside
13980,13980,SE Harmony & Fuller,southeast harmony & fuller,Eastbound stop in Milwaukie (Stop ID 13980),45.432505,-122.586608,B,https://trimet.org/home/stop/13980,0,,East,Farside
13981,13981,7700 Blk SE Harmony (Clack. Comm. College),seventy-seven-hundred block southeast harmony (clack. community. college),Eastbound stop in Milwaukie (Stop ID 13981),45.432483,-122.58274,B,https://trimet.org/home/stop/13981,0,,East,At
13982,13982,7800 Blk SE Harmony (Clack. Comm. College),seventy-eight-hundred block southeast harmony (clack. community. college),Westbound stop in Milwaukie (Stop ID 13982),45.432646,-122.582746,B,https://trimet.org/home/stop/13982,0,,West,At
13983,13983,SE Harmony & Fuller,southeast harmony & fuller,Westbound stop in Milwaukie (Stop ID 13983),45.432642,-122.587632,B,https://trimet.org/home/stop/13983,0,,West,Farside
13984,13984,SE Harmony & Cedarcrest,southeast harmony & cedercrest,Westbound stop in Milwaukie (Stop ID 13984),45.431973,-122.596299,B,https://trimet.org/home/stop/13984,0,,West,Nearside
13985,13985,SE Harmony & International Way,southeast harmony & international way,Southbound stop in Clackamas Co. (Stop ID 13985),45.430823,-122.60306,B,https://trimet.org/home/stop/13985,0,,South,Nearside
13986,13986,SE Hwy 224 & Oak,southeast highway two twenty-four & oak,Northbound stop in Milwaukie (Stop ID 13986),45.443754,-122.630104,B,https://trimet.org/home/stop/13986,0,,North,Farside
13988,13988,900 Block NE Graham Rd,900 block northeast graham road,Northbound stop in Troutdale (Stop ID 13988),45.547038,-122.391187,B,https://trimet.org/home/stop/13988,0,,North,Opposite
13989,13989,1500 Block NE Graham Rd,fifteen-hundred block northeast graham road,Northbound stop in Troutdale (Stop ID 13989),45.551362,-122.388561,B,https://trimet.org/home/stop/13989,0,,North,At
13990,13990,NW Graham & N Entrance Rd,northwest graham & north entrance road,Westbound stop in Troutdale (Stop ID 13990),45.552041,-122.398732,B,https://trimet.org/home/stop/13990,0,,West,Nearside
13991,13991,NW Sundial & Rogers Circle,northwest sundial & rogers circle,Northbound stop in Troutdale (Stop ID 13991),45.55363,-122.407683,B,https://trimet.org/home/stop/13991,0,,North,Opposite
13992,13992,SW Hall & Locust,southwest hall & locust,Northbound stop in Tigard (Stop ID 13992),45.446212,-122.765462,B,https://trimet.org/home/stop/13992,0,,North,Nearside
13993,13993,Molalla & Warner-Milne,molalla & war-ner-milnee,Northbound stop in Oregon City (Stop ID 13993),45.337089,-122.590885,B,https://trimet.org/home/stop/13993,0,,North,Farside
14000,14000,10800 SW Walnut,10800 southwest walnut,Eastbound stop in Tigard (Stop ID 14000),45.430582,-122.788048,B,https://trimet.org/home/stop/14000,0,,East,At
14002,14002,9200 Block SE Foster,ninety-two-hundred block southeast foster,Westbound stop in Portland (Stop ID 14002),45.479666,-122.567799,B,https://trimet.org/home/stop/14002,0,,West,At
14003,14003,SW Denney & 100th Ter,southwest denney & 100th ter,Eastbound stop in Beaverton (Stop ID 14003),45.469298,-122.780037,B,https://trimet.org/home/stop/14003,0,,East,Nearside
14009,14009,W Burnside & NW 24th Pl,west burnside & northwest 24th place,Westbound stop in Portland (Stop ID 14009),45.524136,-122.701652,B,https://trimet.org/home/stop/14009,0,,West,Farside
14018,14018,SE Powell & 99th (Powell Garage),southeast powell & 99th (powell garage),Eastbound stop in Portland (Stop ID 14018),45.49638,-122.56193,B,https://trimet.org/home/stop/14018,0,,East,Nearside
14019,14019,Clackamas Community College,clackamas community college,Northbound stop in Oregon City (Stop ID 14019),45.322016,-122.575339,B,https://trimet.org/home/stop/14019,0,,North,At
14028,14028,10100 Block SE 82nd,10100 block southeast 82nd,Northbound stop in Clackamas Co. (Stop ID 14028),45.450364,-122.578885,B,https://trimet.org/home/stop/14028,0,,North,Farside
14029,14029,SE Eagle Creek Rd & Hill Way,southeast eagle creek road & hill way,Northbound stop in Clackamas Co. (Stop ID 14029),45.301632,-122.338309,B,https://trimet.org/home/stop/14029,0,,North,Farside
14030,14030,SE Eagle Creek Rd & Hill Way,southeast eagle creek road & hill way,Southbound stop in Clackamas Co. (Stop ID 14030),45.301621,-122.338512,B,https://trimet.org/home/stop/14030,0,,South,Nearside
14031,14031,N Kerby & Graham,north kerby & graham,Northbound stop in Portland (Stop ID 14031),45.542618,-122.67182,B,https://trimet.org/home/stop/14031,0,,North,Nearside
14032,14032,NW Thurman & 23rd,northwest thurman & 23rd,Eastbound stop in Portland (Stop ID 14032),45.535446,-122.698388,B,https://trimet.org/home/stop/14032,0,,East,Farside
14033,14033,NW 19th & Raleigh,northwest 19th & raleigh,Southbound stop in Portland (Stop ID 14033),45.534024,-122.690726,B,https://trimet.org/home/stop/14033,0,,South,Farside
14034,14034,NW 19th & Marshall,northwest 19th & marshall,Southbound stop in Portland (Stop ID 14034),45.530436,-122.690576,B,https://trimet.org/home/stop/14034,0,,South,Farside
14035,14035,NW 19th & Flanders,northwest 19th & flanders,Southbound stop in Portland (Stop ID 14035),45.525424,-122.690417,B,https://trimet.org/home/stop/14035,0,,South,Farside
14037,14037,NW 18th & Flanders,northwest 18th & flanders,Northbound stop in Portland (Stop ID 14037),45.525585,-122.689242,B,https://trimet.org/home/stop/14037,0,,North,Nearside
14038,14038,NW 18th & Lovejoy,northwest 18th & lovejoy,Northbound stop in Portland (Stop ID 14038),45.529825,-122.6894,B,https://trimet.org/home/stop/14038,0,,North,Nearside
14039,14039,NW 18th & Raleigh,northwest 18th & raleigh,Northbound stop in Portland (Stop ID 14039),45.534456,-122.689571,B,https://trimet.org/home/stop/14039,0,,North,Farside
14040,14040,NW Thurman & 21st,northwest thurman & 21st,Westbound stop in Portland (Stop ID 14040),45.535621,-122.695164,B,https://trimet.org/home/stop/14040,0,,West,Farside
14041,14041,SE Thiessen & Topaz,southeast thiessen & topaz,Westbound stop in Clackamas Co. (Stop ID 14041),45.416176,-122.584896,B,https://trimet.org/home/stop/14041,0,,West,Farside
14042,14042,SE Thiessen & Anna Marie Ct,southeast thiessen & anna marie court,Westbound stop in Clackamas Co. (Stop ID 14042),45.416184,-122.589767,B,https://trimet.org/home/stop/14042,0,,West,Farside
14043,14043,SE Thiessen & Anna Marie Ct,southeast thiessen & anna marie court,Eastbound stop in Clackamas Co. (Stop ID 14043),45.416049,-122.589638,B,https://trimet.org/home/stop/14043,0,,East,Nearside
14044,14044,SE Thiessen & Topaz,southeast thiessen & topaz,Eastbound stop in Clackamas Co. (Stop ID 14044),45.416055,-122.584291,B,https://trimet.org/home/stop/14044,0,,East,Farside
14045,14045,SE Thiessen & Johnson,southeast thiessen & johnson,Eastbound stop in Clackamas Co. (Stop ID 14045),45.41604,-122.579352,B,https://trimet.org/home/stop/14045,0,,East,Nearside
14046,14046,17800 Block SE 82nd Dr,17800 block southeast 82nd drive,Southbound stop in Gladstone (Stop ID 14046),45.392001,-122.575155,B,https://trimet.org/home/stop/14046,0,,South,At
14047,14047,2000 Block Washington,2000 block washington,Westbound stop in Oregon City (Stop ID 14047),45.369722,-122.59031,B,https://trimet.org/home/stop/14047,0,,West,Farside
14048,14048,2000 Block Washington,2000 block washington,Eastbound stop in Oregon City (Stop ID 14048),45.369773,-122.589392,B,https://trimet.org/home/stop/14048,0,,East,Opposite
14049,14049,17800 Block SE 82nd Dr,17800 block southeast 82nd drive,Northbound stop in Gladstone (Stop ID 14049),45.392762,-122.574625,B,https://trimet.org/home/stop/14049,0,,North,Opposite
14051,14051,SW Hall & Spruce,southwest hall & spruce,Southbound stop in Tigard (Stop ID 14051),45.442219,-122.765631,B,https://trimet.org/home/stop/14051,0,,South,Nearside
14052,14052,SW Hall & Spruce,southwest hall & spruce,Northbound stop in Tigard (Stop ID 14052),45.44231,-122.765454,B,https://trimet.org/home/stop/14052,0,,North,Farside
14054,14054,Ostman & Fields,ostman & fields,Southbound stop in West Linn (Stop ID 14054),45.349155,-122.66704,B,https://trimet.org/home/stop/14054,0,,South,Nearside
14055,14055,27400 Block SE Eagle Creek Rd,27400 block southeast eagle creek road,Southbound stop in Clackamas Co. (Stop ID 14055),45.323727,-122.343513,B,https://trimet.org/home/stop/14055,0,,South,Opposite
14056,14056,High St & 2nd,high street & 2nd,Southbound stop in Oregon City (Stop ID 14056),45.353731,-122.61039,B,https://trimet.org/home/stop/14056,0,,South,Nearside
14062,14062,5000 Block SW Vermont,5000 block southwest vermont,Eastbound stop in Portland (Stop ID 14062),45.476257,-122.728853,B,https://trimet.org/home/stop/14062,0,,East,At
14071,14071,NE Halsey & 106th,northeast haulzy & 106th,Eastbound stop in Portland (Stop ID 14071),45.533482,-122.553781,B,https://trimet.org/home/stop/14071,0,,East,Nearside
